1711,[19-07-2025] Revised date sheets for B.Sc (N) semester examination.,unidata/univexaminations/Revised semester date sheet.pdf,~/uniimg/newgif.gif
1710,[07-07-2025] Unfairmeans Meeting Notice for the students who involved in the Unfairmeans during conduct of the examination,unidata/univexaminations/Unfairmeans Meeting Notice for the students who involved in the Unfairmeans during conduct of the examination.pdf,~/uniimg/newgif.gif
1708,[03-06-2025]Date Sheet of MBAHTM 2nd sem,unidata/univexaminations/Date Sheet of MBAHTM 2nd sem.pdf,~/uniimg/newgif.gif
1707,"[03-06-2025] Date Sheet for End Term Examination (Regular & Backlog) of MBA-II, BBA-II and BBA-IV","unidata/univexaminations/Datesheet of MBA 2nd Semester and BBA 2nd, 4th semester Exam to be held from July 17, 2025 (1).pdf",~/uniimg/newgif.gif
1706,"[31-05-2025]""Revised Datesheet for the conduct of Even Semester End Term Examination of MCA and Integrated-MCA held in July-August-2025""

",unidata/univexaminations/Date sheet July 2025 MCA-Integrated-MCA (Even semester Examination).pdf,~/uniimg/newgif.gif
1704,[29-05-2025] Lab Datesheet for Digital Signal Processing Lab,unidata/univexaminations/DSP Lab.pdf,~/uniimg/newgif.gif
1703,[29-05-2025] Revised Date sheet Theory(4th and 6th sem) University Polytechnic,unidata/univexaminations/Revised Date sheet Theory(4th and 6th sem) University Polytechnic.pdf,~/uniimg/newgif.gif
1702,[29-05-2025] Revised Date sheer Practical (4th and 6th) University Polytechnic,unidata/univexaminations/Revised Date sheer Practical (4th and 6th) University Polytechnic.pdf,~/uniimg/newgif.gif
1701,"[27-05-2025]""Revised notice for PhD Viva Voce of Ms. Haadiya Chishti""
",unidata/univexaminations/Notice for Online Viva-Voce of HAADIYAH CHISTI-1.pdf,~/uniimg/newgif.gif
1699,[23-05-2025] Revised Major Project date - Civil department,unidata/univexaminations/Civil Major Project.pdf,~/uniimg/newgif.gif
1698,"[22-05-2025] Revised Date sheet for B. Tech Lab examination (2nd,4th,6th sem)",unidata/univexaminations/Lab.pdf.pdf,~/uniimg/newgif.gif
1696,"[22-05-2025] Fwd: Revised Date sheet for B. Tech theory examination(2nd,4th,6th sem)",unidata/univexaminations/Theory.pdf.pdf,~/uniimg/newgif.gif
1695,[22-05-2025] Pre PhD Seminar of Mr. PM Osman,unidata/univexaminations/ACE Scanner_2025_05_21.pdf,~/uniimg/newgif.gif
1694,[20-05-2025] Ph.D. presentation/viva-voce of Ms. Najmu Nissa,unidata/univexaminations/Ms Najuma Nissa Ph.D viva Re-Scheduled notification.pdf,~/uniimg/newgif.gif
1693,[20-05-2025] Date Sheet for Reappear End Term Examination (BBA-624),unidata/univexaminations/Reappear Date Sheet Reappear May 2025.pdf,~/uniimg/newgif.gif
1692,[16-05-2025] Re-Notification of End Term Examination (May 2025) Date Sheet for MBA Semester-IV (Regular) and BBA-VI (Regular and Backlog),unidata/univexaminations/Date Sheet BBA-VI and MBA-IV May 2025.pdf,~/uniimg/newgif.gif
1691," [16-05-2025] Notice regarding conduct of Summer Training Viva-voce (MBA-III & BBA-V)",unidata/univexaminations/Notice for Summer Training Report BBA and MBA 28 May 2025.pdf,~/uniimg/newgif.gif
1690,[16-05-2025] Dept of Economics Revised Datesheet Sem IV and Pre-Phd,unidata/univexaminations/Revised Datesheet Sem IV and Pre-Phd.pdf,~/uniimg/newgif.gif
1689,[16-05-2025] Notification related to Postponement / Cancellation of End Term Examinations and Summer Training Viva-voce (Department of Management Studies),unidata/univexaminations/Postponement of End term Examinations May 2025.pdf,~/uniimg/newgif.gif
1688,[16-05-2025] Datesheet 6th Practical Revised (University Polytechnic),unidata/univexaminations/Datesheet 6th Practical Revised(University Polytechnic).pdf,~/uniimg/newgif.gif
1687,[16-05-2025] Datesheet 6th theory revised(University Polytechnic),unidata/univexaminations/Datesheet 6th theory revised(University Polytechnic).pdf,~/uniimg/newgif.gif
1686,[16-05-2025] Date Sheet of MBAHTM 4th Sem from Centre for Hospitality and Tourism,unidata/univexaminations/DocScanner 16-May-2025 10-27 am.pdf,~/uniimg/newgif.gif
1685,[16-05-2025] Revised 8th semester Theory and Major Project Datesheet,unidata/univexaminations/REVISED 8th Datesheet and Major project.pdf,~/uniimg/newgif.gif
1684,"[15-05-2025] Date sheet of M.A English, 4th Semester",unidata/univexaminations/datesheet english 4th sem.pdf,~/uniimg/newgif.gif
1683,"[15-05-2025] Date sheet of 4th semester, Dept. of English",unidata/univexaminations/M.A. ENGLISH DATESHEET FINAL.pdf,~/uniimg/newgif.gif
1682,[15-05-2025] Notification regarding Examination dated 14.05.2025.,unidata/univexaminations/Notification dated 14.05.2025.pdf,~/uniimg/newgif.gif
1681,[14-05-2025] Revised Datesheet for the conduct of Even semester Theory Examination -Regular/Backlog (May-2025),unidata/univexaminations/Datesheet (2).pdf,~/uniimg/newgif.gif
1678,[09-05-2025] Revised Laboratory examination datesheet,unidata/univexaminations/Revised Lab Datesheet.pdf,~/uniimg/newgif.gif
1677,[09-05-2025] Revised Theory examination datesheet,unidata/univexaminations/Revised Theory Datesheet.pdf,~/uniimg/newgif.gif
1675,[09-05-2025] Corrigendum: Examination (May 2025) Date Sheet for BBA (Backlog),unidata/univexaminations/BBA Corrigendum Date Sheet 2025.pdf,~/uniimg/newgif.gif
1674,[09-05-2025] MBA Datesheet May 2025,unidata/univexaminations/MBA Datesheet May 2025.pdf,~/uniimg/newgif.gif
1673,"[06-05-2025] Date sheets of M.A Urdu SEM- II & SEM-IV ",unidata/univexaminations/@ mushtaq siddiqui .com (48) (1).pdf,~/uniimg/newgif.gif
1671,"[06-05-2025] Date sheet for B. Tech Lab examination(2nd,4th,6th and 8th)",unidata/univexaminations/Lab Datesheet.pdf,~/uniimg/newgif.gif
1670,"[06-05-2025] Examination (May 2025) Date Sheet for BBA Semester-2nd, 4th and 6th (Regular and Backlog)
",unidata/univexaminations/Date Sheet BBA Examinations May 2025.pdf,~/uniimg/newgif.gif
1669,"[05-05-2025] MA Economics Datesheet 2nd and 4th sem ",unidata/univexaminations/MA Economics Datesheet 2nd and 4th sem .pdf,~/uniimg/newgif.gif
1668,[05-05-2025] Pre-Ph.D. Coursework Examination. Economics Batch 2024,unidata/univexaminations/Pre-Ph.D. Coursework Examination. Economics Batch 2024.pdf,~/uniimg/newgif.gif
1667," [05-05-2025] Date sheet for B. Tech theory examination(2nd,4th,6th and 8th) New Course",unidata/univexaminations/New Course.pdf,~/uniimg/newgif.gif
1666,"[ 05-05-2025] Date sheet for B. Tech theory examination(2nd,4th,6th and 8th) Old Course",unidata/univexaminations/Old Course.pdf,~/uniimg/newgif.gif
1664,"[02-05-2025] Date sheet M.A. Education II and IV semester and B. Ed IV semester (Backlog). ",unidata/univexaminations/Adobe Scan 02-May-2025 (1).pdf,~/uniimg/newgif.gif
1663,[30-04-2025] Practical Date Sheet (Even Sem-2025) University Polytechnic (1),unidata/univexaminations/Practical Date Sheet (Even Sem-2025) University Polytechnic (1).pdf,~/uniimg/newgif.gif
1662,[30-04-2025] Theory Date Sheet (Even Semester-2025) University Polytechnic (1),unidata/univexaminations/Theory Date Sheet (Even Semester-2025) University Polytechnic (1).pdf,~/uniimg/newgif.gif
1660,"[16-04-2025] Date Sheet for B.Sc. Nursing Year wise theory Examination (session May 2025) of the students of College of Nursing Rajouri, Jammu and Kishtwar.
",unidata/univexaminations/Year wise date sheet 2025.pdf,~/uniimg/newgif.gif
1659,"
[16-04-2025] Date Sheet for B.Sc. Nursing semester wise theory Examinations (session May 2025) of the students of College of Nursing Rajouri, Jammu and Kishtwar.",unidata/univexaminations/Semester Date sheet 2025.pdf,~/uniimg/newgif.gif
1653,"[04-02-2025] Civil Computer Fundamental Postponement of External Lab examination ",unidata/univexaminations/Civil Computer Fundamental.pdf,~/uniimg/newgif.gif
1651,[31-01-2025] Rescheduled dates for External Lab Examination COET,unidata/univexaminations/Rescheduling.pdf,~/uniimg/newgif.gif
1649,[27-01-2025] Department of Education Revised Datesheet of M.A. Education Ist Semester(Regular) Jan2025,unidata/univexaminations/Revised Datesheet.pdf,~/uniimg/newgif.gif
1648,[27-01-2025] Examination of MA Islamic Studies postponed and Revised Date Sheet,"unidata/univexaminations/Revised Date Sheet Department of Islamic Studies, BGSBU 27-01-2025 (1).pdf",~/uniimg/newgif.gif
1647,[27-01-2025] Postponement of Theory Examination on account of Shab-i-Miraj holiday,unidata/univexaminations/postponement 28th Jan.pdf,~/uniimg/newgif.gif
1646,[26-01-2025] Bsc Nurisng Supplementary Exam Rescheduled Date sheets examinations 2025,unidata/univexaminations/Revised date sheets university examinations 2025.pdf,~/uniimg/newgif.gif
1644,[24-01-2025] Postponement of Theory Examination on account of Shab-i-Miraj holiday,unidata/univexaminations/Shab-i Miraj.pdf,~/uniimg/newgif.gif
1642,"[20-01-2025] Revised date sheet for BSc Nursing II-Year III year and IV year ",unidata/univexaminations/CamScanner 01-17-2025 17.11.pdf,~/uniimg/newgif.gif
1640," [14-01-2025] Date sheet for old courses EE department.",unidata/univexaminations/Datesheet oldcourse.pdf,~/uniimg/newgif.gif
1639,[14-01-2025] Rescheduling of B.Tech exam for Concrete Technology course.,unidata/univexaminations/Reschdule Concrete.pdf,~/uniimg/newgif.gif
1637,[03-01-2025] Datasheet for MBA 1st Semester Examination (Regular & Backlog) July-Dec 2024,unidata/univexaminations/pdf&rendition=1.pdf,~/uniimg/newgif.gif
1634,"[01-01-2025] Date sheet MA Gojri Pahari semester 1st &3rd ",unidata/univexaminations/Document 21.pdf,~/uniimg/newgif.gif
1633,[31-12-2024] Date Sheet MA Economics First semester,"unidata/univexaminations/DocScanner Dec 31, 2024 2-59 PM.pdf",~/uniimg/newgif.gif
1631,[31-12-2024]Date Sheet for BBA 1st Semester Examination (Regular& Backlog) June-Dec2024,unidata/univexaminations/5493d93c-913b-496d-8ebb-ba542e1e7053.pdf,~/uniimg/newgif.gif
1630,[31-12-2024]Datesheet for M. Sc ist semester physics Batch-2024.,unidata/univexaminations/ORDER1-19 (1).pdf,~/uniimg/newgif.gif
1628,[30-12-2024] Date Sheet for M. A. Education first semester,unidata/univexaminations/Adobe Scan 30 Dec 2024.pdf,~/uniimg/newgif.gif
1627,"[27-12-2024] Revised Theory B.Tech Examination Date Sheet B.Tech (1st,3rd,5th,7th semester)",unidata/univexaminations/Revised Winter 2024 Theory Datesheet.pdf,~/uniimg/newgif.gif
1626,[26-12-2024] Date Sheet Botany Semester-III,unidata/univexaminations/MSC Botany Sem III.pdf,~/uniimg/newgif.gif
1625,[26-12-2024] Date Sheet Botany Semester 1,unidata/univexaminations/Msc Botany Sem I.pdf,~/uniimg/newgif.gif
1624," [26-12-2024] Lab Examination Date Sheet B.Tech (1st,3rd,5th,7th semester)",unidata/univexaminations/Winter 2024 Lab Datesheet.pdf,~/uniimg/newgif.gif
1620,"[13-12-2024] Lab. Date-sheets of B.Tech 1st , 3rd  , 5th  & 7th  semesters  Examinations 2024","unidata/univexaminations/Lab. Date-sheets of B.Tech 1st , 3rd  , 5th  & 7th  semesters  Examinations 2024.pdf",~/uniimg/newgif.gif
1619,[06-12-2024] Revised Nursing datesheets for First and Second semester examinations,unidata/univexaminations/Revised Nursing datesheets for semester examinations.pdf,~/uniimg/newgif.gif
1616,[04-12-2024] Date sheet for MBA 3 rd semester,unidata/univexaminations/Revised date sheet MBA 3rd sem.pdf,~/uniimg/newgif.gif
1615,"[21-11-2024] | Datesheet of B.Sc. Nursing: Ist, IInd and IIIrd Semester Theory Examination (Dec, 2024)",unidata/univexaminations/2024_Datesheet_nursing.pdf,~/uniimg/newgif.gif
1614,[31-10-2024] | Datesheet for MPR-403,unidata/univexaminations/MPR-403.pdf,~/uniimg/newgif.gif
1613,"[15-10-2024] | Notification Regarding Examination Form for B.Tech. Semester-I ",unidata/univexaminations/Exam Form Noticebtech1202425.pdf,~/uniimg/newgif.gif
1612,Revised Datesheet for MIS-416,unidata/univexaminations/mis416.pdf,~/uniimg/newgif.gif
1611,Datesheet for MIS-416,unidata/univexaminations/DSMIS416.pdf,~/uniimg/newgif.gif
1610,Datesheet for MIS-403,unidata/univexaminations/dsmis403.pdf,~/uniimg/newgif.gif
1609,"Datesheet for Pre. Ph.D. Course Work, Department of Management Studies",unidata/univexaminations/prephdcwmgmnt.pdf,~/uniimg/newgif.gif
1608,"Datesheet of M.Sc. IT, Semester-II, IV",unidata/univexaminations/DSMSCIT24.pdf,~/uniimg/newgif.gif
1607,Datesheet for course code CE-422,unidata/univexaminations/CE-422 Datesheet.pdf,~/uniimg/newgif.gif
1606,"Datesheet of M.Sc. Zoology, 2nd and 4th Semester",unidata/univexaminations/msczoology22024.pdf,~/uniimg/newgif.gif
612,"Revised Datesheet for MCA,IInd Semester and IMCa-II,IV and VIIIth Semester",unidata/univexaminations/Date Sheetsc.pdf,~/uniimg/newgif.gif
611,"Datesheet for M.Sc. Microbiology, Semester-II",unidata/univexaminations/MIC-Sem-2 Revised Datesheet10052024.pdf,~/uniimg/newgif.gif
610,"Datesheet for M.Sc. Microbiology, Semester-IV",unidata/univexaminations/MIC-Sem-4 Revised-2 Datesheet10052024.pdf,~/uniimg/newgif.gif
609,"Datesheet for M.Ed., B.Ed. and M.A. Education",unidata/univexaminations/Date Sheet 2024 1.pdf,~/uniimg/newgif.gif
608,"Date sheet for B. Tech Laboratory examination(2nd,4th,6th and 8th Semesters)",unidata/univexaminations/2024 lab examination (1).pdf,~/uniimg/newgif.gif
607,Revised Schedule for Course Title:- Design and Analysis of Algorithm,unidata/univexaminations/Revised Date DAA.pdf,~/uniimg/newgif.gif
606,"Date sheet for B. Tech theory examination(2nd,4th,6th and 8th Semesters)",unidata/univexaminations/Final Datesheet 06 May 2024.pdf,~/uniimg/newgif.gif
605,"Datesheet of M.Sc. Botany, IVth Semester (Regular/ Backlog)",unidata/univexaminations/bot42024.pdf,~/uniimg/newgif.gif
604,"Datesheet of M.Sc. Botany, IInd Semester (Regular/ Backlog)",unidata/univexaminations/bot22024.pdf,~/uniimg/newgif.gif
603,"Datesheet of B.Sc. Nursing, Ist Year, IInd Year, IIIrd Year, IVth Year",unidata/univexaminations/Date sheet year wise(1)2024.pdf,~/uniimg/newgif.gif
602,"Revised Datesheet for M.A.Economics, IInd and IVth Semester, May-June, 2024",unidata/univexaminations/Revised Date sheetmaeconomics2024.pdf,~/uniimg/newgif.gif
601,"Revised Datesheet for BBA, IInd, IVth and VIth Semester, May-June, 2024",unidata/univexaminations/Revised Datesheet  BBA2462024.pdf,~/uniimg/newgif.gif
600,"	
Datesheet for M.A.Economics, IInd and IVth Semester, May-June, 2024",unidata/univexaminations/ecodatesheet.pdf,~/uniimg/newgif.gif
599,"	
Datesheet for BBA, IInd, IVth and VIth Semester, May-June, 2024",unidata/univexaminations/BBA 2nd 4th & 6th.pdf,~/uniimg/newgif.gif
598,"Datesheet for B.Sc. Nursing, Semester-I",unidata/univexaminations/Revised 1Sem time table.pdf,~/uniimg/newgif.gif
596,"Datesheet for MBA, IInd and IVth Semester, May-June, 2024",unidata/univexaminations/MBA  2nd & 4th Date sheet202425.pdf,~/uniimg/newgif.gif
595,"Datesheet for B.Sc. Nursing 2nd Semester  Examination ",unidata/univexaminations/Datesheetnur2.pdf,~/uniimg/newgif.gif
594,"Datesheet for conduct of B.Ed 3rd Semester Internship Viva -Voce (Regular &Backlog)Examination, 2024",unidata/univexaminations/B.Ed 311 datesheet.pdf,~/uniimg/newgif.gif
593,"Datesheet of B.Sc. Nursing, Supplementary Examination, I.II,III, Ivth Year",unidata/univexaminations/CamScanner 01-02-2024 14.35.pdf,~/uniimg/newgif.gif
592,"Datesheet for M.A. Gojri and Pahari, Sem-III",unidata/univexaminations/MAGOJRIDate Sheet SEM-III (2).pdf,~/uniimg/newgif.gif
591,"Datesheet for M.A. Gojri and Pahari, Sem-I",unidata/univexaminations/magojriDate Sheet SEM-I.pdf,~/uniimg/newgif.gif
590,"Datesheet of MCA,Semester-I,III and IMCA, Semester-I, III, V, VII",unidata/univexaminations/MCAIMCADATESHEET.pdf,~/uniimg/newgif.gif
589,"Datesheet of BBA, Semester- I, III, V",unidata/univexaminations/datesheetDepartment of Management Studies.pdf,~/uniimg/newgif.gif
588,"Datesheet for M.A. English,Semester -I and III ",unidata/univexaminations/MAENGDate sheet for 1st & 3rd sem 23.pdf,~/uniimg/newgif.gif
587,"Laboratory Examination Datesheet of B.Tech., Semester- I, III, V, VII",unidata/univexaminations/Lab Datesheet.pdf,~/uniimg/newgif.gif
586,Rescheduled Examination Date  of Power Engineering (PCC-EE-501),unidata/univexaminations/Reschedule.pdf,~/uniimg/newgif.gif
585,"	
Datesheet for MBA,Semester -I and III (Regular and Backlog)",unidata/univexaminations/mbaDocScanner 27 Dec 2023 3-36 pm (1).pdf,~/uniimg/newgif.gif
583,"Theory Examination Datesheet of B.Tech., Semester- I, III, V, VII",unidata/univexaminations/Theory Examination Datesheet-1-7 (1).pdf,~/uniimg/newgif.gif
