7202,[25-12-2025] Result of B.Voc semester 6th batch 2021 backlog examination held in May-July 2025,7202.pdf,
7200,[19-12-2025] Ph.D result of Mr Zahid Hussain Department of Zoology,7200.pdf,
7199,[19-12-2025] Result of M.Sc Environment science semester 4th exam held in Session 2023-2025,7199.pdf,
7198,"[19-12-2025] Result of M.Sc Zoology semester 4th examination held in session 2023-2025
",7198.pdf,
7197,[19-12-2025] Result of M.Sc Botany semester 4th exam held in session 2023-2025,7197.pdf,
7196,[19-12-2025] Ph.D result of Mr Mujtaba Aamir Bhat,7196.pdf,
7195,[19-12-2025] Ph.d result of Mr Ali Haider Shah,7195.pdf,
7194,[18-12-2025] Re-evaluation result of B.Voc and B.A. Arabic Semester 2nd and 6th,7194.pdf,
7193,[18-12-2025] Result statement of M.A Economics semester 4th Regular exams held in May-Nov 2025,7193.pdf,
7192,"[17-12-2025] Result of the BSc. Nursing (Jammu) Semester -III (Backlog) Examination held in September.,2025.",7192.pdf,
7191,"[17-12-2025] Result of the B. Sc. Nursing (Rajouri) Semester -III (Backlog) Examination held in September., 2025.",7191.pdf,
7190,"[17-12-2025] Result of the BSC Nursing (Kishtwar) Semester -III (Backlog) Examination held in September.,2025",7190.pdf,
7189,"[17-12-2025] Result of the B.Sc.Nursing (Jammu) Semester -III Examination held in September, 2025",7189.pdf,
7188,"[17-12-2025] Result of B.Sc. Nursing (Jammu)-III Year Examination held in August, 2025",7188.pdf,
7186,[14-12-2025] Result of M.Sc. botany semester 2nd exam held in July -August 2025,7186.pdf,
7185,[14-12-2025] Result of M.Sc. Zoology semester 2nd exam held in July -Sept 2025,7185.pdf,
7184,[14-12-2025] Result of 35-EVS-2023 semester 2nd exam held in July -August 2025,7184.pdf,
7182,[14-12-2025] Backlog result of 2nd semester M.Sc Biotechnology batch 2023 examination held in July -August 2025,7182.pdf,
7181,[14-12-2025] Result of 19-Bio-2023 4th semester M.Sc. Biotechnology,7181.pdf,
7180,[12-12-2025] Result of B.Voc semester 1st batch 2022 backlog examination held in January 2025,7180.pdf,
7179,"[11-12-2025] Overall result of Diploma in Mechanical Engineering, batch 2021",7179.pdf,
7178,"[11-12-2025] Overall result of Diploma in Civil Engineering, batch 2021",7178.pdf,
7177,"[11-12-2025] Re-evaluation Result of B.Tech. Civil Engineering, End-of-Semester - IV examination held in July-August, 2025",7177.pdf,
7176,"[11-12-2025] Re-evaluation Result of B.Tech. CE and CE Lateral Entry End of Semester -VI examination held in July-August, 2025",7176.pdf,
7175,"[11-12-2025] Re-evaluation Result of B.Tech. Information Technology Engineering, End of Semester - VI examination held in July-August, 2025",7175.pdf,
7173,"[11-12-2025] Overall Result of B.Tech. CSE and B.Tech. CSE-Lateral Entry End-of-Semester - VIII Regular Examination held in May, 2025",7173.pdf,
7172,"[11-12-2025] Overall Result of B.Tech. Information Technology Engineering End-of-Semester - VIII Regular Examination held in May, 2025",7172.pdf,
7171,"[11-12-2025] Result of B.Sc. Nursing (Rajouri) Semester -III Examination held in September, 2025",7171.pdf,
7170,[11-12-2025] Result of M.A. Economics semester II batch 2023 & 2022 backlog examination held in July2025,7170.pdf,
7169,"[10-12-2025] Result of BSc Nursing (Kishtwar) Semester-III Examination held in September,2025",7169.pdf,
7168,[09-12-2025] Aggregate result of 19-MUR-2021,7168.pdf,
7167,[09-12-2025] Withheld Result of B.Voc semester 1st batch 2022 exam held in Dec-May 2022/2023,7167.pdf,
7166,[08-12-2025] Result of 25-BSNR-2020 3rd year backlog examination held in August 2025,7166.pdf,
7165,[08-12-2025] Result of BBA Semester 3rd batch 2022 Backlog examination held in December 2024,7165.pdf,
7164,[08-12-2025] Result of BBA Semester 3rd batch 2023 examination held in December 2024,7164.pdf,
7163,"[08-12-2025] Backlogs Result of Diploma in Electronics and Communication Engineering semester-II exam held in July -August, 2025",7163.pdf,
7162,"[03-12-2025] Aggregate result of B.Ed Semester-IV Examination held in May, 2024, Batch 2021 &22",7162.pdf,
7161,"[03-12-2025]   Aggregate Result of BBA Semester -VI Examination held in Dec., 2020 batch-2017",7161.pdf,
7160,"[02-12-2025] Result of B.Tech. Computer Science & Engineering (Lateral Entry), Semester - VI Backlog Examination held in July-August, 2025",7160.pdf,
7159,"[02-12-2025] Result of B.Tech. Computer Science & Engineering- Lateral Entry, Semester-IV Backlog Examination held in July-August, 2025",7159.pdf,
7158,"[02-12-2025] Result of BSC Nursing jammu Backlog 2nd year Examination held in July-August.,2025",7158.pdf,
7157,[02-12-2025] Result of BSC Nursing (Kishtwar)-III Year Backlog Examination held in August.?2025?,7157.pdf,
7156,"[02-12-2025] Result of BSC Nursing 2nd year Examination held in July-August.,2025
",7156.pdf,
7155,[02-12-2025] Result of 16-IMCA-2021 SEMESTER 4TH EXAM HELD IN MAY-2023,7155.pdf,
7154,"[02-12-2025] Result of 08-MUR-2021 exam held in May, 2023",7154.pdf,
7153,[02-12-2025] Result of Diploma in Electronics Roll No 43-DECE-2022 Sem-IV exam held in July -August 2025,7153.pdf,
7150,[02-12-2025] Aggregate Result of 09-MBA-2022 exam held in May-2024,7150.pdf,
7149,"[02-12-2025] Backlogs Result of Diploma in Mechanical Engineering, semester-II exam held in July -August, 2025",7149.pdf,
7148,"[01-12-2025] Result of BBA- Semester -II (Backlog) Examination held in July-August.,2025",7148.pdf,
7147,"[01-12-2025] Re-evaluation Result of B.Tech. Computer Science & Engineering End-of-Semester -I examination held in January, 2025",7147.pdf,
7146,"[01-12-2025] Result of B. Tech. Civil Engineering End-of-Semesters - l& Il (Regular) examinations held in January-February, 2025 and July-August, 2025",7146.pdf,
7145,[27-11-2025] Re-evaluation result of MCA semester 1st and 3rd session Jan -Feb 2025,7145.pdf,
7144,"[21-11-2025] Result Notification of  B.A. Arabic(Hons)-semester-III (Backlog) Examination held in December.,2025",7144.pdf,
7143,[21-11-2025] Result of M.A Persian semester 1st exams held in Jan-Feb 2024,7143.pdf,
7142,[21-11-2025] Result of M.A Persian semester 2nd exam held in May-Sept 2024,7142.pdf,
7141,[21-11-2025] Result of M.A Persian semester 4th exam held in May-Sept 2025,7141.pdf,
7140,[21-11-2025] Result of M.A Persian semester 3rd exam held in January 2025,7140.pdf,
7139,[21-11-2025] Result Notification  of M.A persian semester 1st exams held in Jan. Feb 2024,7139.pdf,
7138,"[20-11-2025] Result of B.A. Arabic Semester -II Examination held in May-June, 2024",7138.pdf,
7137,[20-11-2025] Result of 18-B.Voc-2021 semester II examination held in July 2025,7137.pdf,
7136,[20-11-2025] Result of B.Voc semester 4th. Backlog examination held in July -August 2025 batch 2022,7136.pdf,
7135,[20-11-2025] Result Notification of B.Voc semester 4th examination held in July -August 2025 batch 2023,7135.pdf,
7134,"[20-11-2025] Results of B. Sc. Nursing (Kishtwar) III Year Examination held in August, 2025",7134.pdf,
7133,"[20-11-2025] Result Notification of  B. Sc. Nursing (Kishtwar) III Year Examination held in August, 2025",7133.pdf,
